,Name,Greenup,Maturity,Senescence,Dormancy
0,000-AA0101-Admiralty Islands Lowland Rain Forests.nc,[3],"[4, 5, 6, 7]",[8],"[9, 10, 11, 12, 1, 2]"
1,001-AA0102-Banda Sea Islands Moist Deciduous Forests.nc,[3],[4],[5],"[6, 7, 8, 9, 10, 11, 12, 1, 2]"
2,002-AA0103-Biak-Numfoor Rain Forests.nc,[2],"[3, 4, 5, 6, 7, 8, 9]",[10],"[11, 12, 1]"
3,003-AA0104-Buru Rain Forests.nc,"[3, 4, 5, 6, 7, 8]","[9, 10]",[11],"[12, 1, 2]"
4,004-AA0105-Central Range Montane Rain Forests.nc,[1],[2],[3],"[4, 5, 6, 7, 8, 9, 10, 11, 12]"
5,005-AA0106-Halmahera Rain Forests.nc,[2],[3],[4],"[5, 6, 7, 8, 9, 10, 11, 12, 1]"
6,006-AA0107-Huon Peninsula Montane Rain Forests.nc,[7],"[8, 9]",[10],"[11, 12, 1, 2, 3, 4, 5, 6]"
7,008-AA0110-Louisiade Archipelago Rain Forests.nc,"[8, 9, 10]","[11, 12, 1, 2]","[3, 4, 5]","[6, 7]"
8,009-AA0111-New Britain-New Ireland Lowland Rain Forests.nc,[9],"[10, 11, 12, 1, 2]","[3, 4, 5]","[6, 7, 8]"
9,010-AA0112-New Britain-New Ireland Montane Rain Forests.nc,"[5, 6, 7, 8]",[9],[10],"[11, 12, 1, 2, 3, 4]"
10,011-AA0113-New Caledonia Rain Forests.nc,"[5, 6, 7, 8, 9]","[10, 11, 12]",[1],"[2, 3, 4]"
11,013-AA0115-Northern New Guinea Lowland Rain And Freshwater Swamp Forests.nc,[9],"[10, 11, 12, 1, 2, 3]","[4, 5, 6]","[7, 8]"
12,014-AA0116-Northern New Guinea Montane Rain Forests.nc,[1],[2],[3],"[4, 5, 6, 7, 8, 9, 10, 11, 12]"
13,015-AA0118-Seram Rain Forests.nc,[9],"[10, 11, 12, 1, 2, 3, 4]",[5],"[6, 7, 8]"
14,016-AA0119-Solomon Islands Rain Forests.nc,"[3, 4, 5, 6, 7]",[8],[9],"[10, 11, 12, 1, 2]"
15,017-AA0120-Southeastern Papuan Rain Forests.nc,[10],"[11, 12, 1, 2]","[3, 4, 5, 6]","[7, 8, 9]"
16,018-AA0121-Southern New Guinea Freshwater Swamp Forests.nc,[9],"[10, 11, 12, 1, 2]","[3, 4, 5]","[6, 7, 8]"
17,019-AA0122-Southern New Guinea Lowland Rain Forests.nc,[9],"[10, 11, 12, 1, 2, 3, 4]",[5],"[6, 7, 8]"
18,020-AA0123-Sulawesi Lowland Rain Forests.nc,[2],[3],[4],"[5, 6, 7, 8, 9, 10, 11, 12, 1]"
19,021-AA0124-Sulawesi Montane Rain Forests.nc,[8],[9],[10],"[11, 12, 1, 2, 3, 4, 5, 6, 7]"
20,022-AA0125-Trobriand Islands Rain Forests.nc,[8],"[9, 10, 11, 12, 1]","[2, 3, 4]","[5, 6, 7]"
21,023-AA0126-Vanuatu Rain Forests.nc,"[9, 10]","[11, 12, 1, 2, 3]","[4, 5]","[6, 7, 8]"
22,024-AA0127-Vogelkop Montane Rain Forests.nc,[6],"[7, 8, 9]",[10],"[11, 12, 1, 2, 3, 4, 5]"
23,025-AA0128-Vogelkop-Aru Lowland Rain Forests.nc,[9],"[10, 11, 12, 1, 2, 3, 4]",[5],"[6, 7, 8]"
24,026-AA0201-Lesser Sundas Deciduous Forests.nc,[2],"[3, 4]","[5, 6, 7]","[8, 9, 10, 11, 12, 1]"
25,027-AA0202-New Caledonia Dry Forests.nc,[2],"[3, 4, 5]","[6, 7, 8]","[9, 10, 11, 12, 1]"
26,028-AA0203-Sumba Deciduous Forests.nc,"[12, 1]","[2, 3, 4]","[5, 6, 7]","[8, 9, 10, 11]"
27,029-AA0204-Timor And Wetar Deciduous Forests.nc,"[12, 1, 2]","[3, 4]","[5, 6, 7]","[8, 9, 10, 11]"
28,030-AA0401-Chatham Island Temperate Forests.nc,"[8, 9, 10, 11]","[12, 1, 2, 3, 4]",[5],"[6, 7]"
29,031-AA0403-Fiordland Temperate Forests.nc,[12],"[1, 2]",[3],"[4, 5, 6, 7, 8, 9, 10, 11]"
30,032-AA0404-Nelson Coast Temperate Forests.nc,[10],"[11, 12, 1, 2]","[3, 4]","[5, 6, 7, 8, 9]"
31,033-AA0405-North Island Temperate Forests.nc,"[9, 10, 11]","[12, 1, 2]","[3, 4, 5]","[6, 7, 8]"
32,034-AA0406-Northland Temperate Kauri Forests.nc,"[4, 5]","[6, 7, 8, 9, 10, 11]","[12, 1]","[2, 3]"
